,link,text,user,likes,quotes,retweets,comments
17,https://twitter.com/beacukaimadura/status/1800000000501670143#m,"Tentunya diharapkan kegiatan ekspor yang dilakukan nantinya dapat terus berkelanjutan.”, ungkap Andru dalam paparannya.",Bea Cukai Madura,0,0,0,1
18,https://twitter.com/beacukaimadura/status/1799999997641195849#m,“Ekspor itu mudah. Klinik Ekspor Bea Cukai Madura senantiasa memberikan asistensi dan pendampingan terhadap UMKM agar mampu merambah pasar internasional dengan kegiatan ekspor.,Bea Cukai Madura,0,0,0,1
19,https://twitter.com/beacukaimadura/status/1799999995497853429#m,"Dikemas dalam bentuk seminar, dalam kegiatan ini narasumber dari Bea Cukai Madura menjelaskan beberapa hal terkait dengan tugas dan fungsi Direktorat Jenderal Bea dan Cukai (DJBC), dukungan pemerintah melalui DJBC, dan edukasi klinik ekspor bagi UMKM.",Bea Cukai Madura,0,0,0,1
20,https://twitter.com/beacukaimadura/status/1799999993274847381#m,Hadir sebagai narasumber dalam kegiatan ini Andru Iedwan Permadi (Kepala Seksi Kepatuhan Internal dan Penyuluhan Bea Cukai Madura) dan Suhaydi (CEO PR Empat Sekawan).,Bea Cukai Madura,0,0,0,1
21,https://twitter.com/beacukaimadura/status/1799999991118991835#m,Kegiatan ini diselenggarakan oleh Badan Eksekutif Mahasiswa Fakultas Ilmu Administrasi (BEM FIA) Universitas Madura bekerjasama dengan Bea Cukai Madura dan PR Empat Sekawan.,Bea Cukai Madura,0,0,0,1
22,https://twitter.com/beacukaimadura/status/1799999988967309637#m,"Pamekasan (10/06) – Bertempat di Gedung Laboratorium Bersama Universitas Madura, Bea Cukai Madura berkesempatan untuk menjadi salah satu narasumber pada kegiatan yang bertajuk “Bea Cukai Madura x Djava Goes to Campus” pada Kamis, 6 Juni 2024.",Bea Cukai Madura,0,0,0,1
23,https://twitter.com/beacukaimadura/status/1799999985058271623#m,GAUNGKAN “EKSPOR ITU MUDAH” KEPADA MAHASISWA,Bea Cukai Madura,0,0,0,1
24,https://twitter.com/pajakcom/status/1799999929512837454#m,Waspadai Penipuan Mengatasnamakan Bea Cukai! Kenali Modus dan Cara Mengatasinya https://www.pajak.com/pajak/waspadai-penipuan-mengatasnamakan-bea-cukai-kenali-modus-ciri-ciri-dan-solusinya/,Pajak.com,0,0,0,0
25,https://twitter.com/imanullah/status/1799973294009118814#m,"Sibuk2 bea cukai tempo hari spertinya jg perintah Lurah... Biasa klu gitu2 lurah ga tampil di depan... APBN udh benar2 sekarat, publik meradang, trus UKT, trus TAPERA... trus apalagi ya...",Imanullah,0,0,1,0
26,https://twitter.com/buddiestore_ina/status/1799997620330680481#m,wts open jastip imei beacukai  — hp di bawah 500 usd atau sekitar 8.000.000  — bebas pajak hanya kena fee jastip (diluar tax jika kena) — dom jakarta timur  💰fee jastip 500.000 / hp open 2 slot ✅✅  🛫18 juni ; eta 21 juni 2024  #buddiesjastip #zonauang #jastipimei,Buddies GO | mt after dm,0,0,0,0
27,https://twitter.com/ghozyulhaq/status/1795504263797375052#m,"Gara-gara kasus akhir-akhir ini kayak Bea Cukai, Tapera, UKT Mahal banyak yang ngeluh dan pengen ganti kewarganegaraan.  Gimana caranya? gue coba rangkumin apa aja syaratnya buat apply citizenship di beberapa negara yang bisa jadi alternatif 😁  A thread 🧵",Ghozy Ul-Haq,21101,824,6307,312
28,https://twitter.com/Tatarori80/status/1799941631850000443#m,"Bea Cukai dan BNNP DKI Jakarta bersinergi musnahkan narkotika.  Sebagai info aja ya, ""Sinergi penindakan dan pemusnahan narkotika antara Kanwil Bea Cukai Jakarta dan BNN-P DKI Jakarta ini bukanlah kali pertama loh. 👍 _ Hot Mess Pati Robby Purba Fuji Bale Blacklist Polwan",TTR......↙️,6,1,5,1
29,https://twitter.com/Anggita_lung/status/1799941141921775796#m,"BNN Provinsi DKI Jakarta dan Kanwil Bea Cukai Jakarta musnahkan barang bukti tindak pidana narkotika, Kamis (30/05).  Dengan situasi imi diharapkan sinergi antara Bea Cukai dan BNNP DKI Jakarta dapat terus terjalin  Hot Mess Pati Robby Purba Fuji Bale Blacklist Polwan Judol",Loli,10,1,10,3
30,https://twitter.com/Nidyna10/status/1799940785103851593#m,"BNN Provinsi DKI Jakarta dan Kanwil Bea Cukai Jakarta gelar pemusnahan barang bukti tindak pidana narkotika, pada Kamis (30/5/2024).  Hot Mess Pati Robby Purba Fuji Bale Blacklist Polwan Judol Plaza Indonesia",Nidyna10,10,0,10,2
31,https://twitter.com/Hansunriko/status/1799941065535041760#m,"Mantap, Bea Cukai Tegas Menyatakan Kesetaraan Gender  Perempuan diharapkan memiliki suara yang setara dalam pengambilan keputusan di bidang ekonomi, termasuk kepabeanan dan cukai.  __  Hot Mess Pati Robby Purba Fuji Bale Blacklist Polwan Judol Plaza Indonesia",Han ❤️🇮🇩,9,2,8,2
32,https://twitter.com/Saodah1234/status/1799949483431858357#m,"Bea Cukai Tegas Menyatakan Kesetaraan Gender di Forum Internasional, Mantap  Instansi kepabeanan yang memiliki tugas sebagai fasilitator perdagangan ini turut menyuarakan kesetaraan gender melalui forum internasional. ___ Hot Mess Pati Robby Purba Fuji Bale Blacklist Polwan Judol",NEW UPDATE,13,1,10,2
33,https://twitter.com/Heraloebss/status/1799288611013324816#m,"Kegaduhan  ini  mirip2 kasus Bea Cukai banyak Netizen +62 Terjebak Riding The wave kaum the Have  ■ Dikira Anjing TitipanPadahal Anjing Pribadi Milik satpam itu sendiri   ■Netizen MengiraDia Satpam biasa,FAKTANYA Dia Satpam K9 (pawang Anjing,yg paham karakter Anjingnya)",Miss Tweet |,503,11,73,10
34,https://twitter.com/coema_coemi/status/1799979161228018033#m,Badan Narkotika Nasional (BNN) Provinsi DKI Jakarta dan Kanwil Bea Cukai Jakarta gelar pemusnahan barang bukti tindak pidana narkotika Kamis 30 Mei 2024. Narkotika yg dimusnahkan beberapa jenis.   Hot Mess Pati Robby Purba Fuji Bale Blacklist Polwan Judol Plaza Indonesia,Lusy_amy,7,2,6,1
